CustomerID,Name,Region,JoinDate,LoyaltyPointsQty,ContactMethod
1093,Christian Medina,East,2/4/2023,2213,Email
1094,Robert Jones,West,11/18/2023,3624,SMS
1095,Dr. Jason Scott,South,4/7/2021,4333,Phone
1096,Patricia Rogers,South,1/10/2024,3267,Email
1097,Laura Jones,East,12/7/2023,4856,SMS
1098,Jeffrey Maxwell,West,1/27/2022,4006,Phone
1099,Lori Howard,East,2/27/2021,56,Email
1100,Michael Simon,East,12/27/2020,71,SMS
1101,Ryan Martin,South-West,11/14/2020,4935,Phone
1102,Robert Hansen,Central,11/19/2022,73,Email
1103,Megan Chandler,East,6/25/2023,2166,SMS
1104,David Herrera,West,4/1/2021,2303,Phone
1105,Taylor Clarke,Central,3/11/2023,2572,Email
1106,Jennifer Ewing,East,5/16/2023,2240,SMS
1107,Emily Hoffman,West,6/9/2023,1720,Phone
1108,Sharon Bautista,Central,7/31/2022,2910,Email
1109,Aaron Garcia,East,7/31/2023,4055,SMS
1110,Melissa Grimes,South,3/14/2024,4286,Phone
1111,Ronald Chavez,South-West,6/24/2021,106,Email
1112,Joseph Flores,East,4/3/2021,635,SMS
1113,Louis Jones,Central,7/4/2021,2940,Phone
1114,Grace Price,South,3/25/2022,4541,Email
1115,Gina Banks,West,9/16/2023,62,SMS
1116,Melissa Rivera,Central,10/25/2021,2844,Phone
1117,Amanda Lang,North,4/14/2024,4088,Email
1118,Briana Alvarado,South,3/18/2022,2145,SMS
1119,Cameron Hernandez,East,8/8/2022,1832,Phone
1120,Daniel Meyer,South,3/15/2024,2542,Email
1121,Stephanie Garrison,East,8/21/2020,3039,SMS
1122,Christopher Martinez,East,10/7/2021,1952,Phone
1123,Colleen Greene,South-West,8/21/2022,1221,Email
1124,Megan Novak,East,12/19/2022,3551,SMS
1125,Debbie Andrews,West,5/22/2021,4942,Phone
1126,Lee Luna,East,1/19/2021,1232,Email
1127,George Edwards,Central,5/12/2023,3068,SMS
1128,Vincent Day,North,7/3/2022,820,Phone
1129,Karina Jones,East,11/5/2023,3840,Email
1130,Mary Sandoval,North,10/6/2020,3390,SMS
1131,Mark Gomez,West,6/11/2020,4827,Phone
1132,Scott Winters,West,9/20/2022,2000,Email
1133,Victor Wagner,South-West,6/12/2021,1865,SMS
1134,Joseph Aguilar,West,12/5/2023,2808,Phone
1135,Christopher Chen,South,9/10/2023,3554,Email
1136,Scott Hernandez,South,2/9/2024,1917,SMS
1137,Jessica Harmon,South-West,11/5/2022,4174,Phone
1138,Bonnie Stewart,South,4/19/2022,1310,Email
1139,Heather Olson,Central,4/20/2021,1229,SMS
1140,Carla Flores,East,9/30/2020,3131,Phone
1141,David Palmer,North,9/16/2022,595,Email
1142,Marvin Hamilton,North,4/23/2022,4978,SMS
1143,Miss Chelsea Castro DDS,Central,2/23/2021,4248,Phone
1144,Brian Browning,East,5/3/2023,2485,Email
1145,Stephanie Powell,East,2/3/2023,323,SMS
1146,Jonathan Andrade,South-West,6/7/2020,3622,Phone
1147,William Palmer,South-West,8/14/2023,3226,Email
1148,Dean Allison,West,6/23/2021,1129,SMS
1149,Jordan Elliott,North,5/13/2020,3767,Phone
1150,Bobby Hunter,North,12/6/2020,1597,Email
1151,Sabrina Lester,West,7/16/2022,909,SMS
1152,Thomas Garcia,East,9/14/2022,3049,Phone
1153,Michelle Martinez,East,7/31/2023,4492,Email
1154,Edward Castillo,North,10/1/2020,1287,SMS
1155,Rachel Goodman,North,4/10/2023,2811,Phone
1156,Dennis Acevedo,East,6/18/2023,4593,Email
1157,Cheryl Wu,West,12/10/2021,3356,SMS
1158,Kelly Gallagher,East,3/2/2024,3373,Phone
1159,Kelli Smith,North,1/28/2022,549,Email
1160,Phillip Soto,West,4/21/2023,1668,SMS
1161,David Ellis,East,1/2/2023,2700,Phone
1162,Deborah Rice,East,1/14/2022,170,Email
1163,Elizabeth Vaughn,West,5/1/2023,2078,SMS
1164,William Ramsey,North,5/4/2023,4674,Phone
1165,Richard Burnett,Central,7/24/2022,1252,Email
1166,David Mccullough,South-West,12/15/2021,957,SMS
1167,Terry Frederick,North,12/20/2021,1726,Phone
1168,Denise Gonzales,South,5/2/2022,2852,Email
1169,Michael Edwards,South-West,9/26/2023,3358,SMS
1170,Eric Davis,North,10/15/2023,2819,Phone
1171,Ronald Marquez,South-West,4/21/2024,4865,Email
1172,Eric Barr,East,2/1/2023,2202,SMS
1173,David King MD,North,9/14/2022,2778,Phone
1174,Deborah Saunders,West,12/25/2021,1510,Email
1175,Teresa Lopez,West,10/20/2021,668,SMS
1176,Ashley Williams,East,11/24/2021,1868,Phone
1177,Katherine West,East,11/1/2020,3323,Email
1178,Katherine Kerr,East,11/13/2020,309,SMS
1179,Desiree Miller,East,12/21/2021,2277,Phone
1180,Jennifer Smith,South-West,10/3/2020,3821,Email
1181,Tiffany Smith,East,4/7/2024,124,SMS
1182,James Gray,West,7/24/2020,3684,Phone
1183,Kenneth Graves,East,5/8/2020,1082,Email
1184,Brittney Chen,East,7/20/2023,1883,SMS
1185,Cameron Levine,East,7/26/2021,2713,Phone
1186,Timothy Williams,West,9/28/2021,1334,Email
1187,Kayla Solomon,North,6/10/2022,850,SMS
1188,Ashley Todd,North,9/4/2023,2017,Phone
1189,Jennifer Farrell,North,11/18/2022,793,Email
1190,Elizabeth Robinson,South-West,12/27/2023,3473,SMS
1191,Kyle Smith Jr.,South,10/31/2023,4049,Phone
1192,Gregory Medina,East,6/6/2020,740,Email
1193,Nancy King,South,5/23/2022,4808,SMS
1194,Casey Brown,Central,2/9/2024,4735,Phone
1195,Michael Lee,South-West,8/22/2023,1413,Email
1196,Dr. Elizabeth Johnston DDS,North,2/9/2022,421,SMS
1197,William Wilson,West,4/4/2023,3907,Phone
1198,Chris Allen,South-West,10/11/2022,73,Email
1199,James Cooley,West,7/23/2020,1446,SMS
